Symbol,Date,Open,High,Low,Close,AdjClose,Volume
TSLA,2018-06-01,285.86,291.95,283.84,291.82,19.4546666667,5424386
TSLA,2018-06-04,294.34,299.0,293.55,296.74,19.7826666667,4797810
TSLA,2018-06-05,297.7,297.8,286.74,291.13,19.4086666667,5995157
TSLA,2018-06-06,300.5,322.17,297.48,319.5,21.3,18767269
TSLA,2018-06-07,316.15,330.0,313.58,316.09,21.0726666667,14345271
TSLA,2018-06-08,319.0,324.48,317.15,317.66,21.1773333333,8205202
TSLA,2018-06-11,322.51,334.66,322.5,332.1,22.14,13183473
TSLA,2018-06-12,344.7,354.97,338.0,342.77,22.8513333333,22347403
TSLA,2018-06-13,346.71,347.2,339.8,344.78,22.9853333333,9469804
TSLA,2018-06-14,347.63,358.75,346.6,357.72,23.848,10981023
TSLA,2018-06-15,353.84,364.67,351.25,358.17,23.878,10848254
TSLA,2018-06-18,355.4,373.73,354.5,370.83,24.722,12073226
TSLA,2018-06-19,365.16,370.0,346.25,352.55,23.5033333333,12761903
TSLA,2018-06-20,358.04,364.38,352.0,362.22,24.148,8383656
TSLA,2018-06-21,362.0,366.21,346.27,347.51,23.1673333333,7967145
TSLA,2018-06-22,351.54,352.25,332.0,333.63,22.242,10266059
TSLA,2018-06-25,330.12,338.47,327.5,333.01,22.2006666667,6931304
TSLA,2018-06-26,336.05,343.55,325.8,342.0,22.8,7452487
TSLA,2018-06-27,345.0,350.79,339.5,344.5,22.9666666667,8333727
TSLA,2018-06-28,348.66,357.02,346.11,349.93,23.3286666667,8398005
TSLA,2018-06-29,353.33,353.86,342.41,342.95,22.8633333333,6492396
TSLA,2018-07-02,360.07,364.78,329.85,335.07,22.338,18759765
TSLA,2018-07-03,331.75,332.49,309.69,310.86,20.724,12282638
TSLA,2018-07-05,313.76,314.39,296.22,309.16,20.6106666667,17476374
TSLA,2018-07-06,304.95,312.07,302.0,308.9,20.5933333333,8865451
TSLA,2018-07-09,311.99,318.52,308.0,318.51,21.234,7596753
TSLA,2018-07-10,324.56,327.68,319.2,322.47,21.498,9471498
TSLA,2018-07-11,315.8,321.94,315.07,318.96,21.264,4884076
TSLA,2018-07-12,321.43,323.23,312.77,316.71,21.114,5721166
TSLA,2018-07-13,315.58,319.58,309.25,318.87,21.258,5875770
TSLA,2018-07-16,311.71,315.16,306.25,310.1,20.6733333333,7818655
TSLA,2018-07-17,308.81,324.74,308.5,322.69,21.5126666667,6996232
TSLA,2018-07-18,325.0,325.5,316.25,323.85,21.59,5624211
TSLA,2018-07-19,316.33,323.54,314.01,320.23,21.3486666667,5915345
TSLA,2018-07-20,321.23,323.24,311.71,313.58,20.9053333333,5166547
TSLA,2018-07-23,301.84,305.5,292.86,303.2,20.2133333333,10992947
TSLA,2018-07-24,304.42,307.72,292.55,297.43,19.8286666667,9590784
TSLA,2018-07-25,296.74,309.62,294.5,308.74,20.5826666667,7094180
TSLA,2018-07-26,304.85,310.7,303.64,306.65,20.4433333333,4630522
TSLA,2018-07-27,307.25,307.69,295.34,297.18,19.812,5703326
TSLA,2018-07-30,295.9,296.1,286.13,290.17,19.3446666667,6814072
TSLA,2018-07-31,292.25,298.32,289.07,298.14,19.876,5076916
TSLA,2018-08-01,297.99,303.0,293.0,300.84,20.056,10129430
TSLA,2018-08-02,328.44,349.99,323.16,349.54,23.3026666667,23214962
TSLA,2018-08-03,347.81,355.0,342.53,348.17,23.2113333333,13656486
TSLA,2018-08-06,345.46,354.98,341.82,341.99,22.7993333333,8564331
TSLA,2018-08-07,343.84,387.46,339.15,379.57,25.3046666667,30875768
TSLA,2018-08-08,369.09,382.64,367.12,370.34,24.6893333333,24571163
TSLA,2018-08-09,365.55,367.01,345.73,352.45,23.4966666667,17183811
TSLA,2018-08-10,354.0,360.0,346.0,355.49,23.6993333333,11552044
TSLA,2018-08-13,361.13,363.19,349.02,356.41,23.7606666667,10463881
TSLA,2018-08-14,358.45,359.2,347.1,347.64,23.176,6986427
TSLA,2018-08-15,341.91,344.49,332.14,338.69,22.5793333333,9101258
TSLA,2018-08-16,339.91,342.28,333.82,335.45,22.3633333333,6064033
TSLA,2018-08-17,323.5,326.77,303.53,305.5,20.3666666667,18958612
TSLA,2018-08-20,291.7,308.5,288.2,308.44,20.5626666667,17402335
TSLA,2018-08-21,310.61,324.79,309.0,321.9,21.46,13172230
TSLA,2018-08-22,320.87,323.88,314.67,321.64,21.4426666667,5945955
TSLA,2018-08-23,319.14,327.32,318.1,320.1,21.34,5147286
TSLA,2018-08-24,320.7,323.85,319.4,322.82,21.5213333333,3602564
TSLA,2018-08-27,318.0,322.44,308.81,319.27,21.2846666667,13079288
TSLA,2018-08-28,318.41,318.88,311.19,311.86,20.7906666667,7649091
TSLA,2018-08-29,310.27,311.85,303.69,305.01,20.334,7447392
TSLA,2018-08-30,302.26,304.6,297.72,303.15,20.21,7216706
TSLA,2018-08-31,302.0,305.31,298.6,301.66,20.1106666667,5375104
TSLA,2018-09-04,296.94,298.19,288.0,288.95,19.2633333333,8350469
TSLA,2018-09-05,285.05,286.78,277.18,280.74,18.716,7720821
TSLA,2018-09-06,284.8,291.17,278.88,280.95,18.73,7480760
TSLA,2018-09-07,260.1,268.35,252.25,263.24,17.5493333333,22491931
